title,url,type,gender
Women Appreciation Gift Box,https://theelegance.pk/shop/women-appreciation-gift-box/,Gift Box,Women
Women’s Day Gift Box,https://theelegance.pk/shop/womens-day-gift-box/,Gift Box,Women
Women’s Day Snacks Basket,https://theelegance.pk/shop/womens-day-snacks-basket/,Snack Basket,Women
Skin Love & Luxury Gift Box,https://theelegance.pk/shop/skin-love-luxury-gift-box/,Skincare Box,Women
Skincare Gift Box,https://theelegance.pk/shop/skincare-gift-box/,Skincare Box,Women
Special Glamour Gift Box,https://theelegance.pk/shop/special-glamour-gift-box/,Glamour Box,Women
Warm Welcome Box,https://theelegance.pk/shop/warm-welcome-box/,Gift Box,Women
Contemporary Ramadan Box,https://theelegance.pk/shop/contemporary-ramadan-box/,Ramadan Box,Women
Classic Charm Gift Box,https://theelegance.pk/shop/classic-charm-gift-box/,Gift Box,Women
Empowerment Gift Box,https://theelegance.pk/shop/empowerment-gift-box/,Gift Box,Women
Grateful for You Box,https://theelegance.pk/shop/grateful-for-you-box/,Gift Box,Women
Gifts of Gratitude,https://theelegance.pk/shop/gifts-of-gratitude/,Gift Collection,Women
Desi Deluxe Basket for Her,https://theelegance.pk/shop/eidi-ideas/,Basket,Women
Itikaf Gift for Her,https://theelegance.pk/shop/itikaf-package/,Religious Gift Set,Women
Ibadah Gift Set,https://theelegance.pk/shop/ibadah-giftset/,Religious Gift Set,Women
Brooklyn Hoodie,https://theelegance.pk/shop/brooklyn-hoodie/,Apparel,Women
Classic Mug (Women-themed),https://theelegance.pk/shop/blackforest-cake-delight/,Edible/Accessory,Women
Royal Treat,https://theelegance.pk/shop/royal-treat/,Gift Box,Women
Special Feminine Gift Bundle,https://theelegance.pk/shop/blossom-and-bites-bundle/,Bundle,Women
Women Corporate Tech Gift,https://theelegance.pk/shop/bluetooth-headphones/,Tech Accessory,Women
Elite Gift Box for Men,https://theelegance.pk/shop/classic-gift-box-men/,Gift Box,Men
Original Leather Wallet,https://theelegance.pk/shop/classic-gift-box-men/#wallet,Accessory,Men
Personalised Moon Lamp,https://theelegance.pk/shop/personalised-moon-lamp/,Home Decor,Men
Affection Name Necklace,https://theelegance.pk/shop/affection-name-necklace/,Jewelry,Men
KitKat Chocolate Gift Pack,https://theelegance.pk/shop/kitkat-chocolate-gift-pack/,Edible Gift,Men
Wooden LED Letter Lights with Name,https://theelegance.pk/shop/wooden-led-letter-lights/,Home Decor,Men
Leather Essentials (set),https://theelegance.pk/shop/leather-essentials/,Accessory Set,Men
You’re the Best Metal Keychain,https://theelegance.pk/shop/metal-keychain/,Accessory,Men
Classic Gift Box (Perfume + Candle + Chocolates + Mehndi),https://corporate.theelegance.pk/corporate-gifting/classic-gift-box/,Gift Box,Men
Formal Shirt (included in Elite Box),https://theelegance.pk/shop/classic-gift-box-men/#shirt,Apparel,Men
Tie (included in Elite Box),https://theelegance.pk/shop/classic-gift-box-men/#tie,Apparel,Men
Men’s Watch (included in Elite Box),https://theelegance.pk/shop/classic-gift-box-men/#watch,Accessory,Men
Yatch Men Perfume (included in Elite Box),https://theelegance.pk/shop/classic-gift-box-men/#perfume,Fragrance,Men
Mix Chocolate Box (add-on),https://theelegance.pk/shop/classic-gift-box-men/#addon-chocolate,Edible Gift,Men
Formal Shirt variant,https://harmaalwala.com.pk/shop/special-gift-box-for-men/,Apparel,Men
Yatch Men Perfume variant,https://harmaalwala.com.pk/shop/special-gift-box-for-men/,Fragrance,Men
"Ferrero Rocher (x3, from Special Gift Box)",https://harmaalwala.com.pk/shop/special-gift-box-for-men/,Edible Gift,Men
Executive Gentleman Gift Box,https://jsstore.com.pk/shop/customized-gifts/gifts-for-him/the-executive-gentleman-gift-box/,Gift Box,Men
Indulgence Gift Box For Him,https://jsstore.com.pk/shop/customized-gifts/gifts-for-him/the-indulgence-gift-box-for-him/,Gift Box,Men
Gift Box with Perfume & Body Spray For Men,https://www.daraz.pk/products/gift-box-with-perfume-body-spray-for-men-i345853398.html,Gift Box,Men
